	sender	me
406	eu ei geia sou antwnhh pou esia zoe called you . aaaa wraia einai ntaxeieie antouaaan an mporeseis tsekare auto to biblio an yparxei sto spiti kapou euxaristww isws sto dwmatio m . . . .	dn einai
418	oooukeu sefxaristw	zwh
422	lege sthn aggelakh nai	ok
426	giaui why	tha paw apopse na ton parw
429	okeu mporeis na peis th mama na mou ferei kana fa an exei tpt etoimo ?	nai alla nomizw dn exei
432	okeu asto tote giati tha me parei thl kai tha me leei oti stenaxwrietai pou den trww kai tetoia mh peis kati tha m leei oti stenaxwrietai alla de tha m ferei kai fai 	ennoeitai oti dn tha elega
440	xaxaxxaxaxa okeu teleia	you called zoe .
444	zoe called you .	you called zoe .
448	anaiaiia nai molis m ekane i evagelia	cool
452	telioses ? me eksetasis ?	oxi
456	okokok kali epitixiaaa	ty
0	xronia polla mounaki polyxronos polyxronos re panta ygeia kai pali polyxronos 	pou eisai re leventh
0	r mlk exeis brei link h kati allo den briskw tpt klaiw ti mlkas einai autos nai kalo mathhma fainetai alla p xereis gia thn apallaktikh 	to eipan se auth thn synomilia kapoioi
6	e ama exei th to parw sigoura ara dn kanoume mathhma e 	oxi
9	akl sto entwmetaxy k g . t steila meil k den pshnete na apanthsei	kamenos fainetai r
12	gamiseta alla t mathhma fainetai kalo	einai k ena allo mathhma pou legetai efarmosmena plhroforiaka
18	ti einai auto 	dn leei pouthena ti einai auto to mathhma
22	e tou xronou auto	stis dn htan na ginei to mathhma 
27	pame s ligo paizw tr mpes	se 
30	ante eimai promo akl seri	e
36	to xw dei gamaei	gym ?
41	twra t de pou pame 	sto tam toum
44	wraio t tam toum	xekinhsa
46	bara koudouni th mpeis 	nai
51	you missed a call from mpiser .	mpiser missed your call .
54	nai	tha rtheis eksw
57	poioi th maste 	gt rwtas ?
59	etsi dn exei steilei kaneis	apo pisw ginontai ta plays
64	akraio plei wraia steile k apo mprosta n rthei k kanas allos	skase
68	akl	r vlhma
74	den s ebrisa	mou xeis gamisei th zwh
77	mesa eimai exei kollhsei t lol wraiooos	to paikse duskolh
80	nai kapa	tha ertheis giafka
82	mpa dn th rthw	you set the nickname for giannos charalampous to mpiser .
88	giati kleinoun t klamp 	e ti tha mpei r mlk athina thess se lockdown kai emeis edw tha partaroume
91	isxyei alla dn m pshnei k dn exw k lefta tha knme tpt 	eipame na pioume kamia mpura nai
95	ti wra 	r mlk rantebou kleinoume ti na se pw
100	r eisai mlks afou dn mporoume n kykloforhsoume	 einai h apagoreush
104	auto lew pame pio nwris	eimai gym
106	kou	e mpiser
109	egine kristian	kateva
111	th mpeis 	nai
113	ante	se xexasa
117	nai kalo einai re t gymnasthrio einai anoixto smr noice	mhn ertheis
122	 mai r dn th paw teleutaia mera th rthw n sas brw	trww ena tost kai mpainoume
126	steile n mpw	mpes
129	mpiser called you . mpes e	n
133	exw psarakh r den th rthw	 
138	komple	ela gia kafe
140	to ftiaxate t ps 	dn hrthan ta pramata
144	mlkia . . den nomizw n rthw tr xypnisa	 eurw h wra
151	 eurw wres kai kleisame	gia dwse problepseis
153	an exei thn trapeza o xristodoulakos exete xasei hdh	erxomacte
155	pou th pame 	esy tha bgeis ap to spiti tlk 
157	ti kanonisate r 	you called mpiser .
159	r exeis paei na pareis ta biblia 	aurio tha paw
161	mporeis n pareis kai ta dika mou ta ebala na rthoun sth patra o mlks	nai r
164	 einai to am wraios	alla
169	xaxaxaxa mpastardo th sth steilw	e
180	gamhthhkes	ela afou xerw pws lene th mana sou ti fobasai
182	to epitheto dn t xeres omws	kana tetoio dn exei
185	komple 	e ama einai mono auto komple
187	ok ama einai tipota allo steile	esy tha steileis
191	tha sth steilw r kwlopaido katse n thn kanw	dn exeis speedex e 
193	den nomizw elta exw	to phra apo elta
198	auto kai to elta m xoun steilei	e pare r mlk
200	h act leei einai alla t exei steilei pisw gtxt	rip
208	wraios oxi act htan	acs ennoeis 
211	act mou eipe o kamenos	cs ?
214	kanw t apnteit mia	e mpiser
216	ei	thn ekanes ?
218	exw kati ypo erwthmata akoma dn ta briskw thes n sth steilw etsi mpas k ta breis 	nai
223	den thn exw a exeis paei speedex ?	nai
227	kalws m pe tha paei o ntiri alla tn fobamai	ama einai kwnstantinoupolews
229	nai auth einai	einai dipla s mena
231	oooo wraia s stelnw kwdiko k opote mporeis phgaine	kala re potana
234	ti n kanw r mlk t lousa m ta biblia	o ntiri prepei na ta exei kanei ta teleutaia duo
237	wraia th tou steilw apo deutera th m pei den eixa kleisei rantebou	ti deutera r
243	poo t pousth oxi m leei apo deutera	phge athhna me ton giannh gia to sk
246	akl mexri einai r mlk . . .	mis info
250	trolareis	re mlk mexri tis leei
255	nai r sto iklas mexri to xei	des edw
257	 fps play braiowws	telika ta ekanes ta teleutaia ?
262	gamhthhkes	tha paw aurio speedex epeeidh eisai kalo paidi
264	dn exeis paei r mlk	to ksexasa
266	wraios xaxaxa mlk o xazos m petaxe kila prama	einai polu asteio
269	nai ontws esy ta xeis parei ola t biblia 	oxi
273	e sto epomeno examhno ta ypoloipa . .	tha plakwthoun
275	xaxaxaxaxa oxi pali ta idia mpiser called you .	gianno
288	akraio p phres afou dn exeis idea r mlk ti proforikh na pas 	nai r ontws akraio
293	eisai kwlofardos	kai esu eisai s auta
299	xaxaxa gamiseta t elousa nai r mlk kana th pareis pali k mporei k n se kopsoun	wraia stamatw to diavasma
304	xaxaxa kapa sto kapa	mpes cs
306	mpainw steilte trolareis 	oxi r
310	mesa eimai	steile code
314	a prmn	kai pata copy your code
316	s kana ant 	pata re copy your code
319	prmn a y n xvhn	mpes
322	mphka reei	eisai lol
328	siga mhn mpw n me trolareis	exw trollarei egw pote game rmlk ?
330	katse n skeftw nai	aa kala
334	mpes ena k pame meta giati exw kaei	aahahah ntaksei pare ligo aera se thelw fresh
338	logika no tilt	gamw th zwh mou
340	xacacaca karkino kala p dn mphka	silver me game pame ligo
345	exeis mpei m kanenan prohgmena 	yfanth
349	xaxaxaxa ok th p stn giannh mpe kana lolaki r t brady	ligos karkinosss
354	timios poutsa sas apantas gia tzeison 	ti
358	exw steilei kati wres tr st tzeison gia tis omades k dn m apantaei o kamenos tr xypnhses esy r 	oxi epina mpafo
363	sai wraios	sklavo perases e ?
365	n m bale	wraios k egw
368	elaa	yparxei periptwsh
372	pote r pote	kalokairi r ston aggelo
376	to pshnw alla autos th katsei olo t kalokairi 	dn kserw tha to doume
379	r t pshnw foul ama brw k gkafra eimai mesa	gianno
383	nai t phres 	ap thn arxh to exw parei apla dn eixa milhsei me kanenan
387	n k gw poutsa m pame n	ti alla exeis parei
390	ypologistikh oikonomikh thewria kai texnologia eufywn systhmatwn esy 	ypologistikh baseis epixeirhn kai krypto
396	oxi r thewria paigniwn einai k anebazei k ta mathhmata s binteo	to parakoloutheis 
399	tr t phra giati h bioplhroforikh dn ebgaine m tipota poly dyskolh h mlkia	makria apo makrh r
404	xaxaxa mlk o typos dn yparxei r ama deis ta periexomena t mathhmatos einai triplasia apo ta alla mathhmata pare k oikonomikh n mas t perasei kanas matthaios	oxi r
412	xaxaxaxa th paroume deka s allo mathhma omws epixorhn ti thelei n knme 	nomizw dn exei bgei akoma h ergasia
418	komple	mpiser
421	mphka gkeim 	ntaksei kala ekanas dn eipe polla
426	e eukolo tensorflow k ti allo katebases gia ypologistikh 	scikit
430	ti mlkies einai auta k pou t etrexes 	loipon
439	mlk giati kourazei toso h python k m krasare t matlamp	kai meta psaxne sto google python keras digit classification
443	ok ok th ta dw thenx r poia python exeis 	 . 
448	ok mlk akoma dn mporw n trexw oute t paradeigma gamw thn puthon t cuda t katebases 	katebase kai ligh ram
453	t paketa t katebases apo t pycharm e 	me to pip
456	axa ta kana st pucharm t mlk oloi st internet ftiaxnoun convolutions network auto ekanes 	oxi
466	p t brhkes to back propagation	to back propagation ginetai mono tou
469	aa katse n dw	shmantiko einai na exei ena kryfo epipedo
471	ginete mono t mporei n kanei front propagation omws	r mlk to front ginetai panta
483	nai t da auto brhka k ena kalo nai auto p les me ta arxeia	apla prepei
487	emeis exoume mono to x	loipon
494	nai kati ktlba afou yparxei etoimo ti kourazoun	e gia na exeis na mporeseis na paixeis ligo me ta data frames
497	mm ok to kfold etsi t kanes ?	nai peripou
506	me for t kaneis etsi ? ta mesa p les dn xerw etoima ta phra	fainetai sto screen nai
510	a kala ta allazw k to learnin rate etsi ?	auto to rate einai to default nai
514	oxi r eixe to 	dn kserw ti paizei
519	kookk m bgale auto kala einai ?	oxi
523	giati posa thelei ?	liga einai r
526	tr ?	aaaaa
530	n r thelei epoc ?	alla dn xreiazetai kapou auto to graph
535	ok k auto einai t mse ?	cross entropy exeis
538	ela nte a auto einai t cross entropy ?	r mlk
543	n a to loss einai t cross entropy k to accuracy t mse ? aaaaa ok t kfold s giati gamietai	x train x train .to numpy x test x test .to numpy 
548	t xw t n edw poso t xeis ?	 
551	k gw auto ?	nai etsi
554	axa	printare ligo to x train kai to y train
556	kala th dw	kala einai
561	auto ?	kala einai
563	e tha ta xanagrapsw pali k blepoume	mporeis
570	posimpol	skeftomai oti
576	xaxaxa katse t balw trexei etsi alla elei kamia wra	komple
586	to test exei edw aa xaxaxaxa	 . . .
589	mlk t kefali m	to kserw to feeling
593	gamiseta r to define model t kaneis mes th for e ?	eksw to exw
601	aa tr p ebala t test mesa t anbgazei t error	ompoo
604	n gamw t panagia t	akous
613	import keras import numpy as np from keras .layers import dense from keras .models import sequential import pandas as pd from keras .utils import np utils from matplotlib import pyplot as plt from sklearn .model selection import kfold from tensorflow .python .keras .optimizer v import sgd m train pd .read csv mnist train .csv m test pd .read csv mnist test .csv x train m train .drop label axis y train m train label x test m test .drop label axis y test m test label image size n one hot encoding y train np utils .to categorical y train n y test np utils .to categorical y test n x train x train .to numpy x test x test .to numpy normalization x test x test x train x train nn def define model model sequential the input layer requires the special input shape parameter which should match the shape of our training data . model .add dense units activation sigmoid input shape image size model .add dense units n activation softmax model .summary opt keras .optimizers .adam learning rate . model .compile optimizer opt loss categorical crossentropy metrics accuracy return model print np .shape x train print x train print np .shape y train print y train kfold kfold shuffle true random state histories accuracies losses list list list train ix test ix for train ix test ix in kfold .split x train y train model define model trainx trainy testx testy x train train ix y train train ix x test test ix y test test ix history model .fit x train train ix y train train ix batch size epochs verbose validation data x test test ix y test test ix loss accuracy model .evaluate x test test ix y test test ix verbose print . f accuracy . accuracies .append accuracy histories .append history losses .append loss plt .plot history .history accuracy plt .plot history .history val accuracy plt .title model accuracy plt .ylabel accuracy plt .xlabel epoch plt .legend training validation loc best plt .show for i in range len losses print f test loss losses i .loss . print f test accuracy accuracies i .accuracy . ela t brhka	ti htan
620	dn thelei test x test ix	akuro
625	 elei train x test ix apla perneiw ta columns xaxaxa e p na t dw gamw	kai egw mlk ta eida fores
633	ti na pw . . r file k en telei ti skata thelei egw n brw	na apantas sta erwthma
639	akl to mse to einai kapoio apo auta p bgazei ?	to mse
644	aa komple karkinakos einai h ergasia ta units einai oi eisodoi ?	ta nodes
649	ok kai to prwto einai h eisodos kai to deutero h exodos ?	to prvto einai to krufo epipedo
652	k t erwthma auto p t brhkes ?	model .add tf .keras .layers .flatten 
657	ti nai pali auto ?	oti dn xreaizeetai gt to kanei mono toy
666	e afou t bazoume r	oti to kanei automata opws k na xei
669	na auto einai 	nai r
671	posous kryfous kombous ebales ws to kalytero	 
673	kai kombous gia t deutero epipedo ?	 pali
675	a k batch size epoch giati dn t xw ktlbei	batch size dn to peiraksa exw afhsei to default
681	 eixa	kai deka ftanoun
683	okk	alla vale na eisai sigouros
686	t allazw r klai allazei ta sxediagrammata t epoch ?	mporei nai mporei k oxi
692	kalws mono auto thelei gia t deutero epipedo e 	nai
701	th rthw r mprader kapoia stigmh dn exw k rouxa	nai ante ela na kanoume project epixeirhn
704	exoume k kati diafimhseis n knme tr	wxz
709	 ma ou nomizw poia ebales kalytera lr m ?	teleutaia
714	k tekmhriwsete thewrhtika m ?	dn to ekana auto to afhsa gia to telos gt dn hmoun sigouros
716	ok k omalopoihsh exeis kana paradeigma n teleiwnw	sth parenthesi vazeis
722	exeis dyo kryfa epipeda 	nai
724	katse t kalytero diktyo s einai m dyo kryfa idious kombous	nai
730	e apla me ta dyo t apotelesmata paromoia einai sthn omalopoihsh dn thelei deutero kryfo e ? argei me ta dyo 	opoio sou evgale ta kalutera apo to prohgoumeno erwth a
739	poio blepeis kltro	 
743	a to exei t ligotero t allaxa	e vale auto
746	poo gamhthhka	ti
748	ta xw ftiaxei ola me to 	ahahahahaah
752	skepsou na xes t laptop m	ahaha
756	oxi alla kanw kanw dyo tsigara arazw blepw binteakia	nai r auth einai h fash
759	r file ama balw alla mean k t krathsw les n t katalaboun	r mlk
766	e exeis dikio paw pali apthn arxh ekanes anafora 	nai
770	ftiaxe me steilth na dw kamia thewria	dn eimai spiti
775	okk steilee	otan shkwthw
789	nai r mprader thn thewria thelw dn s antigrafw mlk giati hsoun xypnios toso nwris 	shkwthhka na katourhsw
792	mlk phga exthes n trexw t cnn me neura k meta apo dyo wres dn eixe teleiwsei	ahahhah mlk
800	ti tous les meta p mas bazoun tetoia ergasia	alla evales polla r mlk
804	e r mlk leei dyo arxitektonikes e t kleise meta k allaxa alla	apla vale kai allo convo d
808	a auto thelei 	oxi aparaithta
810	ebala anti gia relu sigmoid kanei 	alla einai to pio logiko
817	e n pa n gamhthei tote etsi t afhnw	bsk dn xerw ti na se pw
819	gamato dn t allazw	posa python arxeia tha steileis
822	tria	wraios k egw
825	e oxi r na deixneis k tis askhseis alla thelei leei n tous ta baleis s ena link sto github mallon dn katalaba	pote thes na ksekinhsoume to project sto epixeirhn
829	dn xerw pame kyriakh kamia klhsh	e mpiser
833	nai th mpoume	wraia to meshmeri
835	ok ti kanete 	pshnei th koka
838	xaxaxa tha thn kaneis enesh 	ahahahha
844	xaxaxaxa r mlk ti kaneis th gineis zakias	ahahahh
852	gamaei h koka blepw wraios	e
856	koimamai giati eimai arrwstos gamw thn tyxh m pame se kamia wra	korona 
859	oxi r an k me toso kosmo p eixe h xalkida th prepe	kl dn peirazei ama einai tha katsw shmera
863	ok mexri pote einai auth h mlkia 	 
866	kala th t kanw aurio	ti kaneis
869	ela r pame s kamia wra giati kanw texnologia	ok
873	pame ntiskornt	tha mpoume ?
875	pame s ligo pame 	nai
880	exw kati douleies tr pio meta	pare otan teleiwseis
882	ok pame 	anoixta ta exw mpes dis
885	tr mpainw e mpes	mpainw
890	pame kai	ok
892	th mpoume r 	ela nai
895	katse n ta anoixw p eisai bghkes 	katalathos
899	oo wraios bgainw egw	wraios
906	nai th t kanw smr	ebala mplouzes pantelonia kai tha balw kai papoutsia
914	ok	ee
917	pame s pente lepta	katse thelw na faw
921	ok pame grhgora giati exw k prohgmena	ok
924	mesa eimai	ela exw mwrh
926	erxomai n sou gamisw	opa lathos
928	xaxaxaxa pame ligooo pou pate r mlkes ? xaxaxa kane kainourgio protzekt k bale tn kwdika mono h kane auta p leei	egw ta parathsa as vrei akrh monh ths
936	xaxaxaxa balto sto laptop mhpws trexei	ompo
942	dn xerw pou to kanate 	draw up
949	nai	mpes otan eisai etoimos
951	kala paw n faw k pame gia mpes	mesa eimai
955	pou eisai you missed a call from mpiser .	bghka
959	to ebales 	poio
962	to sait t kala akou th psaxw gia t feismpouk k tha r baloume sto diko s na nai ola mazi wraia	katarxas eixes katevasei lathos plugin
970	ta idia einai r	kapws etsi prepei na einai
972	den ta bgazei st xom 	ta vgazei
976	kala asta wraioos	exeis kamia idea pws na vgalw kapoia pramata apo auto to menu ?
979	ti na bgaleis 	to terms of use
983	aa dn nomizw na ginetai koita kamia epilogh stis selides alla dn exw dei kati	welcome back
988	pws ta bgales 	dn sou lew
990	xaxa kalytera aurio kanoume t feismpouk	esu tha to kaneis ti ennoeis
993	st diko s th t kanoume r mlk	ntaksei aurio dn mpainw sigoura
996	kala allh mera	e ama sou leei
1001	mono word eixa steilei	klaiw
1004	xaxaxaxa n t blepw	mlk
1008	xaxaxapsaxa mlk h zeta ti tou elege k dn mporouse n milhsei o mat	nai r ton kaulantise
1015	mas eipe n steiloume analytikh anafora me skrinsots katse giati sthn anafora sas eixate skrinsots 	nomizw nai
1019	wraia steile ligo na dw ti thelei o kathysterhmenos	mono ton kwdika
1021	akl ontws 	oxi ta lents
1023	kai giati me tiltare exthes o mlks me thn anafora	mporei kai emas na ta zhthsei
1026	e anafora den exete kanei 	kaname
1031	a ok kai gw eixa mia perigrafh alla m eipe oti dn eixe tpt oti nanai r exeis kanei to ergasthrio 	e
1037	mai	se posh wra
1040	perimenw to fa 	patra eisai 
1042	oxi r xalkida	ante r mlk
1044	tr kanw ena tsigaro k pame s mpainw	e gianno
1053	trailer park boys gamaei	e tha mpoume shmera pio arga
1058	nai	etoimos ?
1062	pame tr meta dn mporw ta anoigw	mpainw windows
1065	ti kaneis mlk	edw eimai r
1068	mpes ntisk	exeis diavasei
1073	oxi exeis kanei ypologistikh thn phres thn ergasia ?	r mlk dn prokeite na parw ergasia
1080	n r auto ennow thn oikonomikh pws thn blepeis ?	dn diabasa akoma
1087	xaxaxaxa r file k gw dn mporw n sygkentrwthw	e kai dn leei twra na xepatwtheis sto diabasma gia na pareis 
1090	ta xw perasei mia grhgorh alla dn nomizw n ftanei kala ti na xepatwtheis tis shmeiwseis diabase rto kefalaio einai eukola alla t dn katalabainw xrhsto	eipe tha mou pei aurio h maria an tha mpei
